PN01a,PN13a,PN22c,PN24a,PN30a,PN33a,PN35a,PN42a,PN42b,PN45a,PN45b,PN47a&33b,PN49a,PN59a,PN63a,PN67b,PN74a,PN82a,PN83a,PN85c,PN94a&94b
0,25,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,21
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0
6,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,12,0
0,0,0,7,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,12,0,0,0,0,0,0,0,0,0,15,0,5,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,8,0,0,16,0,0,0,0,0,10,0
0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,0,0,0,0,7,6,0,5,0,0,0,0
0,0,0,0,0,0,0,3,0,0,0,5,5,0,0,0,0,0,4,0,0
0,0,0,0,0,0,0,6,0,0,0,0,0,0,14,0,0,0,0,0,0
0,0,13,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,11,0,0
0,0,0,0,0,0,0,0,6,9,0,0,0,5,8,0,0,0,0,0,0
0,0,14,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,0,0,4,0
0,0,15,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,0,12,0
0,6,20,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,10,0,0,0,9,0,0,0,13,0,0,14,0,0,0,0
0,0,0,0,14,0,13,0,0,0,0,0,0,5,0,0,0,0,0,0,0
0,10,0,0,0,0,0,0,0,0,0,13,0,0,5,0,0,0,0,0,0
3,4,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,0,0,0,0,4,0,0,5,0,0,0,0,8,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,17,0,0,5,6
0,0,0,0,0,0,0,0,0,0,0,6,0,6,18,0,0,0,0,0,13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,13,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5,0,0,8,0,0,16,0,0,0,0,11,0
0,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0
0,0,18,7,0,0,0,0,0,5,6,0,5,0,0,0,0,0,0,0,0
0,0,0,0,8,0,0,0,0,0,9,6,0,17,0,0,0,0,0,0,0
0,0,3,0,8,0,0,3,4,0,0,0,0,0,0,5,0,0,0,0,0
0,0,0,0,0,0,6,0,0,8,0,0,8,0,0,0,0,3,0,0,0
8,0,13,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,6,6
5,0,0,0,0,0,0,3,0,4,0,0,0,0,4,4,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,0,2,2
2,0,3,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0
0,0,1,0,4,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0
0,0,0,0,2,0,0,4,0,0,4,2,0,0,0,0,0,0,0,2,0
