,2a,7a,9a,10a,19a,22a,23a,35a,43a,43b,47a,49b,59b,67a,67c,82a,85a,85b,85f,98a
g-hexalactone,15,-39,118,18,-2,140,12,171,8,30,24,-1,18,47,40,5,-3,53,54,24
pentanoic acid,7,22,19,22,30,45,2,36,-5,7,14,2,24,207,11,25,-3,30,11,-9
3-methylthio-1-propanol,8,29,96,5,-9,38,-2,188,4,37,200,-1,31,51,46,30,25,46,42,28
(1S)-(+)-3-carene,-1,4,1,-12,123,11,-5,-4,9,7,5,-6,-4,2,11,-5,8,16,4,-7
geranyl acetate,2,1,-5,-8,9,1,4,-3,-10,10,-2,-4,37,7,-3,241,-1,-2,-2,81
pentanal,22,171,24,6,-20,69,-5,82,-13,12,28,-8,11,45,20,10,-2,54,26,27
E2-hexenal,17,221,38,-8,58,49,45,227,41,84,37,6,3,117,47,-6,11,145,35,28
2-heptanone,39,-2,106,17,131,111,25,119,42,71,209,21,25,170,36,32,33,190,40,189
methyl benzoate,1,-27,43,265,-12,43,-6,-14,-3,32,38,19,-2,208,10,31,4,29,46,226
benzaldehyde,5,200,57,123,-15,32,-5,83,36,12,22,101,6,200,6,-10,7,37,49,30
2-methylphenol,-11,-27,36,-17,-16,9,-8,-12,77,35,-11,250,-7,57,2,-14,-14,27,31,-21
1-pentanol,35,166,160,11,84,179,73,188,77,109,62,44,55,148,126,55,47,169,56,75
2-pentanol,38,78,227,17,74,113,41,162,96,168,77,32,39,33,98,60,45,144,58,81
E2-hexenol,35,180,110,-8,79,87,41,223,32,89,31,41,20,109,142,16,68,254,63,214
methyl acetate,5,-6,24,9,-13,54,2,-6,-12,22,25,-5,269,7,7,15,-10,29,12,4
hexyl butyrate,4,-4,2,-1,6,39,1,225,-8,7,17,0,2,62,6,10,40,97,1,28
ethyl trans-2-butenoate,11,-2,103,146,9,210,9,14,-22,191,44,3,-7,104,34,16,91,80,24,243
ethyl lactate,39,31,75,31,24,70,11,5,7,93,29,34,133,39,288,42,39,77,77,66
diethyl succinate,16,-11,21,-13,24,205,26,-20,-8,4,36,-3,-9,175,7,32,-12,35,12,4
spontaneous firing rate,8,17,3,14,29,4,9,17,21,2,1,8,2,11,6,16,14,13,7,12
