Raw data x100,Or01a','Or13a','Or22c','Or24a','Or30a','Or33a','Or35a','Or42a','Or42b','Or45a','Or45b',Or47a-33b','Or49a','Or59a','Or63a','Or67b','Or74a','Or82a','Or83a','Or85c','Or94a-94b'
'1-pentanol',0,293.0033333,0,2.33,0,0,439.0533333,0,4.926666667,8.705,0,50.047,0,0,0,388.41,0,0,3.283333333,12.13833333,0
'3-pentanol',0,63.246,66.422,226.366,0,0,0,437.75,20.012,175.786,73.962,185.548,0,71.974,0,56.792,0,0,0,121.938,77.366
'6-methyl-5-hepten-2-ol',185.8866667,366.5966667,0,0,0,0,426.8433333,0,0,161.615,0,0,0,0,0,9.476666667,0,0,0,332.3183333,0
'3-octanol',132.9685714,408.5742857,0,50.27,0,0,366.7528571,0,0,317.6771429,0,553.1228571,0,0,0,142.7967143,0,0,0,308.4542857,0
'trans-3-hexen-1-ol',0,410.2614286,0,0,0,0,442.6571429,138.7357143,0,225.0085714,0,197.2414286,0,0,0,378.0128571,0,0,0,52.48,0
'methyl phenyl sulfide',187.79,0,247.1833333,473.4366667,445.9733333,0,5.23,0,0,0,410.4866667,129.165,0,63.00166667,0,324.9666667,0,0,0,0,77.445
'anisole',75.61285714,0,340.8942857,54.80685714,403.2757143,0,38.79857143,2.284285714,0,37.58557143,417.5642857,62.24571429,0,318.3971429,0,74.35,0,0,0,0,133.0242857
'2-acetylpyridine',0,0,395.03,125.1511571,0,0,136.5314286,0,0,0,526.0671429,73.05857143,0,488.87,0,0,0,0,0,0,0
25-dimethylpyrazine',0,0,48.31166667,66.6,134.5716667,0,0,0,72.02833333,53.14666667,48.52833333,155.005,0,326.299,0,35.8898,0,0,0,0,129.1983333
'pentyl acetate',338.4683333,575.5666667,150.5533333,323.5083333,78.07333333,0,438.625,18.92166667,26.41,266.73,0,272.5133333,0,0,0,392.0783333,0,146.96,0,291.1633333,0
'geranyl acetate',29.465,0,0,164.765,0,0,0,0,74.365,349.1883333,0,169.0983333,0,0,0,0,0,221.2516667,0,0,0
'2-methoxyphenyl acetate',0,0,78.30666667,148.2533333,0,0,0,0,0,0,182.5433333,245.395,0,457.16,0,0,0,0,0,31.48666667,490.2566667
transtrans-24-nonadienal',0,173.8316667,0,4.56,0,0,347.9183333,0,0,246.4188333,0,21.15666667,0,0,0,0,358.5633333,0,0,48.73,0
4-methyl-5-vinylthiazole',0,0,340.955,264.0716667,120.4033333,0,0,0,0,0,487.0083333,0,0,434.4833333,0,0,0,0,545.0916667,0,353.0916667
