Raw data x100,Or01a','Or13a','Or22c','Or24a','Or30a','Or33a','Or35a','Or42a','Or42b','Or45a','Or45b',Or47a-33b','Or49a','Or59a','Or63a','Or67b','Or74a','Or82a','Or83a','Or85c','Or94a-94b'
'1-pentanol',0,293,0,2,0,0,439,0,5,9,0,50,0,0,0,388,0,0,3,12,0
'3-pentanol',0,63,66,226,0,0,0,438,20,176,74,186,0,72,0,57,0,0,0,122,77
'6-methyl-5-hepten-2-ol',186,367,0,0,0,0,427,0,0,162,0,0,0,0,0,9,0,0,0,332,0
'3-octanol',133,409,0,50,0,0,367,0,0,318,0,553,0,0,0,143,0,0,0,308,0
'trans-3-hexen-1-ol',0,410,0,0,0,0,443,139,0,225,0,197,0,0,0,378,0,0,0,52,0
'methyl phenyl sulfide',188,0,247,473,446,0,5,0,0,0,410,129,0,63,0,325,0,0,0,0,77
'anisole',76,0,341,55,403,0,39,2,0,38,418,62,0,318,0,74,0,0,0,0,133
'2-acetylpyridine',0,0,395,125,0,0,137,0,0,0,526,73,0,489,0,0,0,0,0,0,0
25-dimethylpyrazine',0,0,48,67,135,0,0,0,72,53,49,155,0,326,0,36,0,0,0,0,129
'pentyl acetate',338,576,151,324,78,0,439,19,26,267,0,273,0,0,0,392,0,147,0,291,0
'geranyl acetate',29,0,0,165,0,0,0,0,74,349,0,169,0,0,0,0,0,221,0,0,0
'2-methoxyphenyl acetate',0,0,78,148,0,0,0,0,0,0,183,245,0,457,0,0,0,0,0,31,490
transtrans-24-nonadienal',0,174,0,5,0,0,348,0,0,246,0,21,0,0,0,0,359,0,0,49,0
4-methyl-5-vinylthiazole',0,0,341,264,120,0,0,0,0,0,487,0,0,434,0,0,0,0,545,0,353
45-dimethylthiazole',0,0,0,0,0,0,0,0,0,6,708,0,0,761,0,170,0,0,546,0,0
'4-hexen-3-one',0,0,0,11,0,0,431,283,427,378,0,517,0,0,0,0,75,0,0,523,0
'2-nonanone',0,236,0,317,0,0,294,0,27,166,23,454,0,0,0,156,28,8,0,306,0
'acetal',0,0,0,0,0,0,0,0,618,57,0,0,0,0,0,0,31,0,0,0,0
'2-phenyl ethanol',0,0,0,44,0,0,145,0,0,-1,0,14,0,0,0,469,0,0,0,81,22
'butyl acetate',0,265,307,11,0,0,80,295,18,171,0,430,0,0,0,27,0,11,13,339,8
'ethyl acetate',0,0,0,0,0,0,19,382,365,0,0,36,0,0,0,0,0,0,7,9,0
'benzaldehyde',92,6,157,295,314,0,260,20,0,0,417,10,0,0,131,120,65,9,205,0,7
'2-heptanone',15,373,14,13,0,0,279,300,0,239,0,360,0,0,0,179,65,55,23,360,0
'methyl salicylate',495,12,506,300,0,0,0,0,0,0,15,5,0,104,473,0,0,0,0,308,5
'ethyl butyrate',6,0,258,7,67,309,294,301,363,119,0,265,0,14,13,0,0,71,252,227,0
'isoamyl acetate',0,210,338,7,0,0,238,209,10,212,0,377,0,2,0,77,157,0,26,291,0
'4-methylcyclohexanol ',0,0,115,0,0,0,182,0,0,0,0,12,0,0,0,206,30,0,35,23,0
'hexyl acetate',112,427,72,0,0,0,290,44,17,333,0,396,0,0,53,302,0,9,0,170,0
'linalool',165,320,22,7,0,0,15,41,70,9,12,0,0,22,29,0,0,8,7,309,11
'benzyl acetate',102,56,153,0,0,0,0,10,0,155,0,252,0,4,396,62,0,12,0,163,0
'4-phenyl-2-butanol',49,406,23,283,9,0,144,0,0,7,166,0,0,0,428,128,0,0,0,273,0
'myrtenal',0,0,0,81,6,0,115,10,11,0,13,0,31,0,100,0,0,0,85,0,0
'menthol',175,0,3,10,0,0,0,0,56,0,115,3,248,5,222,0,37,0,0,0,46
'nonane',0,128,10,0,0,0,237,21,37,0,0,0,0,0,0,31,0,0,0,25,0
Baseline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
